date,ward,precinct,race,type,candidate,votes
2019-03-09,03,02,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,02,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,02,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,02,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,02,PRES OF BOA DEM,Total,JAMILAH NASHEED,76
2019-03-09,03,02,PRES OF BOA DEM,Total,MEGAN GREEN,5
2019-03-09,03,02,PRES OF BOA DEM,Total,LEWIS REED,45
2019-03-09,03,03,PRES OF BOA DEM,Polling,JAMILAH NASHEED,25
2019-03-09,03,03,PRES OF BOA DEM,Polling,MEGAN GREEN,0
2019-03-09,03,03,PRES OF BOA DEM,Polling,LEWIS REED,18
2019-03-09,03,03,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,11
2019-03-09,03,03,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,3
2019-03-09,03,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,11
2019-03-09,03,03,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,03,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,03,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,03,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,03,PRES OF BOA DEM,Total,JAMILAH NASHEED,36
2019-03-09,03,03,PRES OF BOA DEM,Total,MEGAN GREEN,3
2019-03-09,03,03,PRES OF BOA DEM,Total,LEWIS REED,29
2019-03-09,03,04,PRES OF BOA DEM,Polling,JAMILAH NASHEED,41
2019-03-09,03,04,PRES OF BOA DEM,Polling,MEGAN GREEN,4
2019-03-09,03,04,PRES OF BOA DEM,Polling,LEWIS REED,26
2019-03-09,03,04,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,4
2019-03-09,03,04,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,3
