stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
12671,12671,BOND @ 42ND STREET WB,NEAR SIDE BOND @ 42ND STREET WB,38.585724,-90.124297
13574,13574,NORTH AND SOUTH @ DELMAR SB,FAR SIDE NORTH AND SOUTH @ DELMAR SB,38.659170,-90.337610
2724,2724,WYDOWN @ HILLVALE EB,NEAR SIDE WYDOWN @ HILLVALE EB,38.642814,-90.324122
673,673,LUCAS-HUNT @ NATURAL BRIDGE NB,FAR SIDE LUCAS-HUNT @ NATURAL BRIDGE NB,38.701776,-90.292316
4586,4586,MCDONNELL @ LINDBERGH WB,FAR SIDE MCDONNELL @ LINDBERGH WB,38.765483,-90.370359
4642,4642,CHAMBERS @ BELLEFONTAINE EB,NEAR SIDE CHAMBERS @ BELLEFONTAINE EB,38.749405,-90.224331
5094,5094,9516 MANCHESTER EB,MID-BLOCK 9516 MANCHESTER EB,38.609224,-90.364721
5097,5097,MANCHESTER @ CREVE COEUR EB,FAR SIDE MANCHESTER @ CREVE COEUR EB,38.611390,-90.357940
4433,4433,WOODSON @ KEMPLAND PLACE NB,FAR SIDE WOODSON @ KEMPLAND PLACE NB,38.679918,-90.356910
7107,7107,DR ML KING @ BELT EB,FAR SIDE DR ML KING @ BELT EB,38.668136,-90.272285
8182,8182,TELEGRAPH @ CRESTLINE NB,FAR SIDE TELEGRAPH @ CRESTLINE NB,38.477946,-90.304297
12861,12861,TUDOR @ 18TH STREET EB,NEAR SIDE TUDOR @ 18TH STREET EB,38.606204,-90.154486
16117,16117,BELLEFONTAINE @ OAK PARKWAY NB,NEAR SIDE BELLEFONTAINE @ OAK PARKWAY NB,38.774734,-90.219688
3647,3647,SUBURBAN @ GEORGIA WB,FAR SIDE SUBURBAN @ GEORGIA WB,38.735504,-90.310800
15037,15037,PENNSYLVANIA @ UCITY SHOPPING CTR SB,NEAR SIDE PENNSYLVANIA @ UCITY SHOPPING CTR SB,38.663294,-90.315709
3576,3576,WEST FLORISSANT @ FERGUSON NB,FAR SIDE WEST FLORISSANT @ FERGUSON NB,38.735043,-90.277776
3897,3897,LEMAY FERRY @ LEMAY GARDENS WB,FAR SIDE LEMAY FERRY @ LEMAY GARDENS WB,38.528693,-90.291830
6894,6894,HOLLYWOOD CASINO CENTER  EB,NEAR SIDE HOLLYWOOD CASINO CENTER  EB,38.753181,-90.481836
5643,5643,KINSWOOD @ MARTIGNEY NB,FAR SIDE KINSWOOD @ MARTIGNEY NB,38.492192,-90.302770
6266,6266,LILLIAN @ KINGSHIGHWAY NB,FAR SIDE LILLIAN @ KINGSHIGHWAY NB,38.686958,-90.244837
7299,7299,ARSENAL @ HEREFORD WB,FAR SIDE ARSENAL @ HEREFORD WB,38.605515,-90.273482
8962,8962,CHIPPEWA @ LANSDOWNE WB,FAR SIDE CHIPPEWA @ LANSDOWNE WB,38.590721,-90.305773
9178,9178,10043 NATURAL BRIDGE WB,NEAR SIDE 10043 NATURAL BRIDGE WB,38.733883,-90.353371
8151,8151,TELEGRAPH @ CATHEDRAL SB,FAR SIDE TELEGRAPH @ CATHEDRAL SB,38.479820,-90.304536
11412,11412,17TH STREET @ KINGSBURY NB,FAR SIDE 17TH STREET @ KINGSBURY NB,38.526455,-90.001767
11062,11062,MCCLINTOCK @ MCKINLEY EB,NEAR SIDE MCCLINTOCK @ MCKINLEY EB,38.512523,-89.960146
11049,11049,FREEBURG @ SOUTH BELT EAST SB,FAR SIDE FREEBURG @ SOUTH BELT EAST SB,38.502237,-89.977582
13430,13430,LINDELL @ LAKE EB,NEAR SIDE LINDELL @ LAKE EB,38.644635,-90.271151
15844,15844,STRASSNER @ HANLEY INDUSTRIAL COURT WB,MID-BLOCK STRASSNER @ HANLEY INDUSTRIAL COURT WB,38.622543,-90.338763
3027,3027,OLIVE @ SPOEDE WB,NEAR SIDE OLIVE @ SPOEDE WB,38.673320,-90.414230
4331,4331,ST. LOUIS @ CHERRY EB,FAR SIDE ST. LOUIS @ CHERRY EB,38.685290,-90.287589
3678,3678,WATERFORD @ JAMES J EAGAN SB,FAR SIDE WATERFORD @ JAMES J EAGAN SB,38.792555,-90.300962
5525,5525,LINDBERGH @ ASHBURY MEADOWS WB,MID-BLOCK LINDBERGH @ ASHBURY MEADOWS WB,38.815403,-90.284667
7047,7047,DR ML KING @ KINGSHIGHWAY WB,FAR SIDE DR ML KING @ KINGSHIGHWAY WB,38.663257,-90.261944
