date,ward,precinct,race,type,candidate,votes
2015-04-07,02,08,PRES OF BOA,Polling,JEFFREY SCHAEFER,3
2015-04-07,02,08,PRES OF BOA,ABSENTEE,LEWIS REED,18
2015-04-07,02,08,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,02,08,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,02,08,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,02,08,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,02,08,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,02,08,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,02,08,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,02,08,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,02,08,PRES OF BOA,Total,LEWIS REED,174
2015-04-07,02,08,PRES OF BOA,Total,ERIK SHELQUIST,0
2015-04-07,02,08,PRES OF BOA,Total,JEFFREY SCHAEFER,3
2015-04-07,03,01,PRES OF BOA,Polling,LEWIS REED,20
2015-04-07,03,01,PRES OF BOA,Polling,ERIK SHELQUIST,0
2015-04-07,03,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,03,01,PRES OF BOA,ABSENTEE,LEWIS REED,1
2015-04-07,03,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,01,PRES OF BOA,Total,LEWIS REED,21
2015-04-07,03,01,PRES OF BOA,Total,ERIK SHELQUIST,0
2015-04-07,03,01,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,03,02,PRES OF BOA,Polling,LEWIS REED,86
2015-04-07,03,02,PRES OF BOA,Polling,ERIK SHELQUIST,1
2015-04-07,03,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,03,02,PRES OF BOA,ABSENTEE,LEWIS REED,8
2015-04-07,03,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,02,PRES OF BOA,Total,LEWIS REED,94
2015-04-07,03,02,PRES OF BOA,Total,ERIK SHELQUIST,1
2015-04-07,03,02,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,03,03,PRES OF BOA,Polling,LEWIS REED,32
2015-04-07,03,03,PRES OF BOA,Polling,ERIK SHELQUIST,2
2015-04-07,03,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,03,03,PRES OF BOA,ABSENTEE,LEWIS REED,15
2015-04-07,03,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,03,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,03,03,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,03,03,PRES OF BOA,Total,LEWIS REED,47
2015-04-07,03,03,PRES OF BOA,Total,ERIK SHELQUIST,2
2015-04-07,03,03,PRES OF BOA,Total,JEFFREY SCHAEFER,0
2015-04-07,03,04,PRES OF BOA,Polling,LEWIS REED,15
2015-04-07,03,04,PRES OF BOA,Polling,ERIK SHELQUIST,0
2015-04-07,03,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
2015-04-07,03,04,PRES OF BOA,ABSENTEE,LEWIS REED,3
2015-04-07,03,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,03,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,03,04,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,03,04,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,03,04,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,03,04,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,03,04,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
