ward,precinct,race,type,candidate,votes
04,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
04,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
04,01,US SENATOR,Total,JOSH HAWLEY,8
04,01,Y,Total,CLAIRE McCASKILL,316
04,01,US SENATOR,Total,JAPHETH CAMPBELL,1
04,02,US SENATOR,Polling,JOSH HAWLEY,12
04,02,Y,Polling,CLAIRE McCASKILL,617
04,02,US SENATOR,Polling,JAPHETH CAMPBELL,6
04,02,US SENATOR,ABSENTEE,JOSH HAWLEY,2
04,02,Y,ABSENTEE,CLAIRE McCASKILL,36
04,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,1
04,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,02,Y,PROVISIONAL,CLAIRE McCASKILL,0
04,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
04,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
04,02,US SENATOR,Total,JOSH HAWLEY,14
04,02,Y,Total,CLAIRE McCASKILL,653
04,02,US SENATOR,Total,JAPHETH CAMPBELL,7
04,03,US SENATOR,Polling,JOSH HAWLEY,5
04,03,Y,Polling,CLAIRE McCASKILL,279
04,03,US SENATOR,Polling,JAPHETH CAMPBELL,1
04,03,US SENATOR,ABSENTEE,JOSH HAWLEY,0
04,03,Y,ABSENTEE,CLAIRE McCASKILL,14
04,03,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
04,03,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,03,Y,PROVISIONAL,CLAIRE McCASKILL,0
04,03,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,03,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,03,Y,HOUSE VOTES,CLAIRE McCASKILL,0
04,03,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
04,03,US SENATOR,Total,JOSH HAWLEY,5
04,03,Y,Total,CLAIRE McCASKILL,293
04,03,US SENATOR,Total,JAPHETH CAMPBELL,1
04,04,US SENATOR,Polling,JOSH HAWLEY,12
04,04,Y,Polling,CLAIRE McCASKILL,414
04,04,US SENATOR,Polling,JAPHETH CAMPBELL,2
04,04,US SENATOR,ABSENTEE,JOSH HAWLEY,1
04,04,Y,ABSENTEE,CLAIRE McCASKILL,22
04,04,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
04,04,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,04,Y,PROVISIONAL,CLAIRE McCASKILL,1
04,04,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,04,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,04,Y,HOUSE VOTES,CLAIRE McCASKILL,0
04,04,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
04,04,US SENATOR,Total,JOSH HAWLEY,13
04,04,Y,Total,CLAIRE McCASKILL,437
04,04,US SENATOR,Total,JAPHETH CAMPBELL,2
04,05,US SENATOR,Polling,JOSH HAWLEY,7
04,05,Y,Polling,CLAIRE McCASKILL,291
04,05,US SENATOR,Polling,JAPHETH CAMPBELL,3
04,05,US SENATOR,ABSENTEE,JOSH HAWLEY,0
04,05,Y,ABSENTEE,CLAIRE McCASKILL,27
04,05,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
04,05,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,05,Y,PROVISIONAL,CLAIRE McCASKILL,0
04,05,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,05,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,05,Y,HOUSE VOTES,CLAIRE McCASKILL,0
04,05,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
04,05,US SENATOR,Total,JOSH HAWLEY,7
04,05,Y,Total,CLAIRE McCASKILL,318
04,05,US SENATOR,Total,JAPHETH CAMPBELL,3
04,06,US SENATOR,Polling,JOSH HAWLEY,6
04,06,Y,Polling,CLAIRE McCASKILL,216
04,06,US SENATOR,Polling,JAPHETH CAMPBELL,0
04,06,US SENATOR,ABSENTEE,JOSH HAWLEY,0
04,06,Y,ABSENTEE,CLAIRE McCASKILL,14
04,06,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
04,06,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,06,Y,PROVISIONAL,CLAIRE McCASKILL,0
04,06,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
04,06,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
04,06,Y,HOUSE VOTES,CLAIRE McCASKILL,0
